pathway	pval	padj	ES	NES	nMoreExtreme	size
GO:0009751	0.108810987206951	0.536764115872828	0.945545048280265	1.2604058429151	5434	1
GO:0097066	0.108810987206951	0.536764115872828	0.945545048280265	1.2604058429151	5434	1
GO:0006469	0.103258440661439	0.536764115872828	-0.434209996315098	-1.32690832561058	5082	33
GO:0006027	0.107923276141146	0.536764115872828	0.647313140128918	1.41213708522858	5333	9
GO:0042246	0.106447859406973	0.536764115872828	0.559802543149308	1.4062632779135	5305	16
GO:0031998	0.103513731825525	0.536764115872828	0.717225020994724	1.40872896508133	5125	6
GO:0051603	0.107753470934784	0.536764115872828	-0.403360770082707	-1.29776797513187	5230	42
GO:0071230	0.102215529334103	0.536764115872828	-0.401193822730275	-1.30260789087147	4954	44
GO:0006396	0.109028556638771	0.536764115872828	-0.334442305037326	-1.23532451424708	5054	90
GO:0048264	0.106776886229965	0.536764115872828	0.688443652113153	1.40715794143242	5282	7
GO:0000470	0.102920171401365	0.536764115872828	-0.568062308249871	-1.38503810941648	5187	13
GO:0070327	0.103976768573042	0.536764115872828	0.621006511395164	1.42457346079074	5155	11
GO:0014044	0.106498194945848	0.536764115872828	-0.594591178025302	-1.38742045569701	5368	11
GO:0090188	0.102726445332595	0.536764115872828	-0.739533517652177	-1.38823942037296	5191	5
GO:0043101	0.109826122118884	0.536764115872828	0.743781282742226	1.39198338400965	5431	5
GO:0031651	0.108853734124653	0.536764115872828	0.779994831644669	1.37375739204012	5373	4
GO:0090327	0.108853734124653	0.536764115872828	0.779994831644669	1.37375739204012	5373	4
GO:0044252	0.108853734124653	0.536764115872828	0.779994831644669	1.37375739204012	5373	4
GO:0045576	0.101300740979381	0.536764115872828	0.887896894670165	1.32243602708684	5030	2
GO:0050732	0.109750306675636	0.536764115872828	-0.734217778084611	-1.378260806774	5546	5
GO:0006266	0.109036971262512	0.536764115872828	0.824649648653639	1.34975011402525	5402	3
GO:0070827	0.103597608216294	0.536764115872828	-0.884495296617355	-1.31535960741151	5214	2
GO:0035946	0.103597608216294	0.536764115872828	-0.884495296617355	-1.31535960741151	5214	2
GO:0035945	0.103597608216294	0.536764115872828	-0.884495296617355	-1.31535960741151	5214	2
GO:2000827	0.103597608216294	0.536764115872828	-0.884495296617355	-1.31535960741151	5214	2
GO:0050790	0.102931701030928	0.536764115872828	0.886764235382506	1.3207490412922	5111	2
GO:0097039	0.10622848324166	0.536764115872828	-0.736799673811105	-1.38310749639828	5368	5
GO:0006828	0.10626805429148	0.536764115872828	-0.736770254489506	-1.38305227096091	5370	5
GO:0032228	0.103260869565217	0.536764115872828	0.523872174993934	1.39920931844452	5186	21
GO:0061324	0.110007518499466	0.536764115872828	-0.734028969314872	-1.37790637824466	5559	5
GO:0035411	0.110007518499466	0.536764115872828	-0.734028969314872	-1.37790637824466	5559	5
GO:0022009	0.110007518499466	0.536764115872828	-0.734028969314872	-1.37790637824466	5559	5
GO:0036023	0.110007518499466	0.536764115872828	-0.734028969314872	-1.37790637824466	5559	5
GO:0001711	0.106203454286167	0.536764115872828	-0.652845845392206	-1.3967799163291	5361	8
GO:0060742	0.108454498633176	0.536764115872828	-0.702707604677337	-1.38872315816246	5474	6
