pathway	pval	padj	ES	NES	nMoreExtreme	size
GO:0004353	0.121767132937506	0.489739839968033	0.734547104126036	1.37375595480801	6049	5
GO:0004383	0.12327836081959	0.491071552890823	0.538051157959896	1.36921311291965	6166	17
GO:0050998	0.123034301317442	0.491071552890823	0.937395259755806	1.25164078710867	6172	1
GO:0030346	0.123034301317442	0.491071552890823	0.937395259755806	1.25164078710867	6172	1
GO:0004163	0.123224552757578	0.491071552890823	0.816281946411827	1.3357470670982	6150	3
GO:0022891	0.122936507936508	0.491071552890823	0.503165428223756	1.35694100099479	6195	22
GO:0005298	0.123437531249375	0.491071552890823	-0.871587179666225	-1.29594256287618	6171	2
GO:0009931	0.12450951100488	0.492191115536916	-0.661478497997823	-1.36804396626065	6250	7
GO:0070300	0.124613841524574	0.492191115536916	0.633000798084597	1.38186217169587	6211	9
GO:0004689	0.124264513926542	0.492191115536916	0.673307515507207	1.37941637646044	6187	7
GO:0004773	0.124337513249735	0.492191115536916	0.872664518638962	1.30114702110628	6216	2
GO:0004128	0.126689087137765	0.496819949559863	0.698227413343801	1.37345034228228	6290	6
GO:0097110	0.126295662674852	0.496819949559863	0.730866685287898	1.36687280563122	6274	5
GO:0004022	0.12666226728258	0.496819949559863	0.562293134864706	1.36834795510917	6333	14
GO:0003842	0.126523168189835	0.496819949559863	0.767788917152975	1.35417038314986	6312	4
GO:0008448	0.127120164231758	0.496895307068803	0.93526055382651	1.24879045798466	6377	1
GO:0008311	0.127160026308971	0.496895307068803	0.935210677519751	1.2487238615098	6379	1
GO:0052629	0.128013100872726	0.499133773470057	-0.595738219012931	-1.35718525055752	6409	10
GO:0004092	0.128186628186628	0.499133773470057	0.766691605566362	1.35223502459169	6395	4
GO:0035613	0.128923543253699	0.500692916980913	-0.563949064483824	-1.34904283010248	6464	12
GO:0005174	0.129724983035964	0.500692916980913	-0.761005536435732	-1.34293304393885	6499	4
GO:0046625	0.129724983035964	0.500692916980913	-0.761005536435732	-1.34293304393885	6499	4
GO:0031996	0.129724983035964	0.500692916980913	-0.761005536435732	-1.34293304393885	6499	4
GO:0005164	0.129724983035964	0.500692916980913	-0.761005536435732	-1.34293304393885	6499	4
GO:0004574	0.130136025802833	0.501399749152771	0.811862817469026	1.32851569495966	6495	3
GO:0035252	0.130592046425661	0.502277101637159	-0.719429682795152	-1.35264057503281	6570	5
GO:0004497	0.131961304299107	0.504010753190465	0.355785756860125	1.24677102894339	7065	88
GO:0008381	0.132188274814045	0.504010753190465	0.569798711642094	1.36260066946982	6610	13
GO:0015129	0.131666967093272	0.504010753190465	0.609756337702076	1.36719998866241	6573	10
GO:0008745	0.131373522693415	0.504010753190465	-0.6839779336213	-1.35393835215518	6613	6
GO:0015081	0.1319357092942	0.504010753190465	-0.807573369511003	-1.32029547265387	6607	3
GO:0004014	0.133433163621843	0.507877093370336	-0.806695528998663	-1.3188602979714	6682	3
GO:0005254	0.135334772362715	0.512253742359153	0.470625486713921	1.32413541817158	6833	27
