pathway	pval	padj	ES	NES	nMoreExtreme	size
GO:0035575	0.510145213869406	0.888089684734213	-0.621092113401033	-1.00994108337011	25820	3
GO:0004573	0.496656192087664	0.888089684734213	0.685905812642772	1.02546523156454	24655	2
GO:0031963	0.520114367976967	0.888089684734213	0.739136940387838	0.985435215396255	26012	1
GO:0070180	0.507712181390506	0.888089684734213	-0.445633579368275	-0.971617918264194	26332	9
GO:0008852	0.521446443464792	0.888089684734213	-0.676450378615738	-1.00213972038796	26258	2
GO:0008310	0.521446443464792	0.888089684734213	-0.676450378615738	-1.00213972038796	26258	2
GO:0005057	0.497777131460861	0.888089684734213	0.437547087579646	0.971988535462905	23960	9
GO:0030898	0.503802535023349	0.888089684734213	-0.402571212500087	-0.967228934781001	26431	13
GO:0052929	0.518672951414068	0.888089684734213	0.67504061359015	1.00922118805722	25748	2
GO:0052928	0.518672951414068	0.888089684734213	0.67504061359015	1.00922118805722	25748	2
GO:0052927	0.518672951414068	0.888089684734213	0.67504061359015	1.00922118805722	25748	2
GO:0034062	0.518672951414068	0.888089684734213	0.67504061359015	1.00922118805722	25748	2
GO:0004810	0.518672951414068	0.888089684734213	0.67504061359015	1.00922118805722	25748	2
GO:0004739	0.520892677828555	0.888089684734213	0.514995725446847	0.971973442870185	25417	5
GO:0004738	0.520892677828555	0.888089684734213	0.514995725446847	0.971973442870185	25417	5
GO:0004422	0.491971571466175	0.888089684734213	0.623915168685035	1.02667323055916	24296	3
GO:0052656	0.508494138133517	0.888089684734213	0.615755681836313	1.01324652266177	25112	3
GO:0052654	0.508494138133517	0.888089684734213	0.615755681836313	1.01324652266177	25112	3
GO:0052655	0.508494138133517	0.888089684734213	0.615755681836313	1.01324652266177	25112	3
GO:0004824	0.505237289501249	0.888089684734213	0.681347072730356	1.01864967585156	25081	2
GO:0000285	0.49460384311661	0.888089684734213	0.622547621057679	1.02442288530232	24426	3
GO:0010521	0.499801421819771	0.888089684734213	-0.686564186459445	-1.0171230050234	25168	2
GO:0035035	0.512829077851312	0.888089684734213	0.419666995879847	0.958759052078709	24563	10
GO:0004008	0.496834408953517	0.888089684734213	0.568568334720916	1.00724030490185	24326	4
GO:0030627	0.502301689222563	0.888089684734213	-0.624713205514435	-1.01582924329532	25423	3
GO:0046976	0.519560628727176	0.888089684734213	0.515704552017317	0.97331124155094	25352	5
GO:0008267	0.519234614307994	0.888089684734213	0.739496049796505	0.98591398873059	25968	1
GO:0003943	0.523165559734336	0.888089684734213	-0.738408746309153	-0.984333778795119	26151	1
GO:0008478	0.492325356538555	0.888089684734213	0.687870958731932	1.02840322822856	24440	2
GO:0015923	0.503897786866989	0.888089684734213	0.618095460163806	1.01709670597971	24885	3
GO:0055102	0.516423941746019	0.888089684734213	-0.741750458862022	-0.988788439660465	25814	1
GO:0086083	0.494280351674405	0.888089684734213	-0.628384540587001	-1.02179910193722	25017	3
GO:0003909	0.503867536862461	0.888089684734213	0.682079871598508	1.01974524866515	25013	2
GO:0003906	0.513767504986736	0.888089684734213	0.488351640724342	0.970370772429435	24983	6
